iter	Passed	Remaining
0	59	59568
1	61	30555
2	62	20683
3	63	15881
4	65	12986
5	66	11051
6	68	9674
7	70	8702
8	71	7883
9	73	7235
10	74	6699
11	75	6250
12	77	5866
13	78	5542
14	80	5256
15	81	5006
16	82	4794
17	84	4613
18	86	4447
19	88	4319
20	89	4174
21	90	4039
22	92	3917
23	93	3807
24	94	3703
25	96	3609
26	97	3521
27	99	3443
28	100	3366
29	101	3296
30	103	3230
31	104	3169
32	106	3110
33	107	3056
34	108	3003
35	110	2951
36	111	2903
37	112	2857
38	114	2814
39	115	2775
40	116	2736
41	118	2700
42	119	2665
43	121	2631
44	122	2598
45	123	2568
46	125	2539
47	126	2513
48	128	2486
49	129	2458
50	130	2433
51	132	2409
52	133	2386
53	134	2364
54	136	2342
55	137	2321
56	139	2301
57	140	2283
58	141	2263
59	143	2244
60	144	2227
61	146	2211
62	147	2194
63	149	2181
64	150	2167
65	152	2151
66	153	2135
67	154	2121
68	156	2105
69	157	2092
70	158	2079
71	160	2066
72	161	2053
73	163	2040
74	164	2028
75	165	2016
76	167	2004
77	168	1992
78	169	1981
79	171	1972
80	173	1963
81	174	1952
82	175	1942
83	177	1932
84	178	1922
85	179	1912
86	181	1904
87	182	1896
88	184	1884
89	185	1875
90	186	1866
91	188	1858
92	189	1850
93	191	1841
94	192	1833
95	194	1827
96	195	1819
97	196	1811
98	198	1805
99	199	1797
100	201	1789
101	202	1782
102	203	1775
103	205	1768
104	206	1761
105	208	1756
106	210	1755
107	212	1755
108	214	1749
109	215	1743
110	216	1735
111	218	1733
112	220	1727
113	221	1720
114	222	1714
115	224	1708
116	225	1702
117	226	1696
118	228	1690
119	229	1681
120	230	1677
121	232	1673
122	233	1667
123	235	1661
124	236	1655
125	237	1650
126	239	1644
127	240	1639
128	242	1634
129	243	1629
130	244	1624
131	246	1618
132	247	1614
133	249	1614
134	251	1609
135	252	1604
136	253	1599
137	255	1593
138	256	1589
139	258	1586
140	259	1581
141	261	1577
142	262	1573
143	263	1568
144	265	1564
145	266	1560
146	268	1555
147	269	1550
148	270	1546
149	272	1541
150	273	1537
151	274	1533
152	276	1529
153	277	1525
154	278	1520
155	280	1517
156	281	1513
157	283	1509
158	284	1505
159	286	1501
160	287	1497
161	288	1493
162	290	1490
163	291	1485
164	292	1482
165	294	1479
166	295	1474
167	297	1471
168	298	1467
169	299	1463
170	301	1460
171	302	1457
172	304	1454
173	305	1450
174	307	1447
175	309	1447
176	310	1444
177	312	1441
178	313	1438
179	315	1435
180	316	1432
181	318	1430
182	319	1427
183	321	1424
184	322	1420
185	323	1417
186	325	1413
187	326	1408
188	327	1404
189	328	1400
190	330	1397
191	331	1393
192	332	1390
193	333	1387
194	335	1383
195	336	1381
196	337	1376
197	339	1373
198	340	1370
199	341	1367
200	343	1363
201	344	1361
202	345	1357
203	347	1354
204	348	1351
205	349	1348
206	351	1345
207	353	1345
208	354	1342
209	356	1339
210	357	1336
211	358	1334
212	360	1331
213	361	1328
214	363	1325
215	364	1322
216	365	1320
217	367	1316
218	368	1313
219	369	1310
220	370	1307
221	372	1304
222	373	1301
223	375	1299
224	376	1296
225	377	1293
226	379	1290
227	380	1288
228	381	1285
229	383	1282
230	384	1278
231	385	1276
232	386	1273
233	388	1271
234	389	1268
235	391	1266
236	392	1264
237	394	1263
238	395	1260
239	397	1257
240	398	1255
241	399	1252
242	401	1250
243	402	1247
244	403	1244
245	405	1242
246	406	1240
247	408	1238
248	409	1236
249	411	1233
250	413	1233
251	414	1230
252	416	1228
253	417	1226
254	418	1223
255	420	1220
256	421	1218
257	422	1215
258	423	1211
259	424	1209
260	426	1206
261	427	1204
262	429	1204
263	431	1202
264	432	1199
265	433	1197
266	435	1195
267	436	1192
268	437	1190
269	439	1187
270	440	1185
271	442	1183
272	443	1180
273	444	1178
274	446	1176
275	447	1173
276	448	1171
277	450	1168
278	451	1166
279	452	1164
280	454	1161
281	455	1159
282	456	1155
283	457	1153
284	458	1151
285	460	1148
286	461	1146
287	462	1144
288	464	1141
289	465	1139
290	466	1136
291	467	1134
292	469	1132
293	470	1130
294	472	1128
295	473	1125
296	474	1123
297	475	1120
298	477	1118
299	478	1116
300	479	1114
301	481	1112
302	482	1110
303	484	1108
304	485	1105
305	486	1103
306	487	1101
307	489	1099
308	490	1097
309	492	1095
310	493	1093
311	495	1092
312	496	1090
313	497	1087
314	499	1085
315	500	1083
316	501	1081
317	503	1078
318	503	1075
319	505	1073
320	506	1071
321	507	1068
322	509	1067
323	510	1064
324	511	1062
325	513	1061
326	514	1058
327	515	1056
328	517	1055
329	518	1052
330	519	1050
331	521	1048
332	522	1046
333	523	1044
334	525	1042
335	526	1040
336	527	1038
337	529	1036
